Aust-Agder;1;Freddy de Rulter;A;-
Aust-Agder;2;Ingebjørg Godskesen;FrP;-
Aust-Agder;3;Svein Harberg;H;For
Aust-Agder;4;Kjell Ingolf Ropstad;Krf;-
Vest-Agder;5;Åse Michaelsen;FrP;-
Vest-Agder;6;Kari Henriksen;A;-
Vest-Agder;7;Peter Skovholt Bitmark;H;For
Vest-Agder;8;Dagrun Eriksen;Krf;For
Vest-Agder;9;Henning Skumsvoll;FrP;Mot
Vest-Agder;10;Alf Egil Holmelid;SV;For
Akershus;11;Sverre Myrli;A;-
Akershus;12;Morten Høglund;FrP
Akershus;13;Jan Tore Sanner;H;-
Akershus;14;Marianne Aasen;A;-
Akershus;15;Kari Kjønaas Kjos;FrP;Mot
